0.000000	1.700000	0.000000
110.000000	1.549476	-0.002416	0.000009
111.000000	1.547055	-0.002425	0.000009
112.000000	1.544625	-0.002434	0.000009
113.000000	1.542187	-0.002443	0.000009
114.000000	1.539740	-0.002451	0.000009
115.000000	1.537286	-0.002458	0.000009
116.000000	1.534824	-0.002465	0.000009
117.000000	1.532355	-0.002472	0.000009
118.000000	1.529880	-0.002478	0.000009
119.000000	1.527399	-0.002484	0.000010
120.000000	1.524912	-0.002490	0.000010
121.000000	1.522420	-0.002495	0.000010
122.000000	1.519923	-0.002499	0.000010
123.000000	1.517422	-0.002503	0.000010
124.000000	1.514917	-0.002507	0.000010
125.000000	1.512408	-0.002510	0.000010
126.000000	1.509896	-0.002513	0.000010
127.000000	1.507383	-0.002515	0.000010
128.000000	1.504867	-0.002517	0.000010
129.000000	1.502349	-0.002518	0.000010
130.000000	1.499831	-0.002519	0.000010
131.000000	1.497312	-0.002519	0.000011
132.000000	1.494793	-0.002519	0.000011
133.000000	1.492274	-0.002518	0.000011
134.000000	1.489757	-0.002517	0.000011
135.000000	1.487241	-0.002515	0.000011
136.000000	1.484726	-0.002513	0.000011
137.000000	1.482215	-0.002510	0.000011
138.000000	1.479706	-0.002507	0.000011
139.000000	1.477202	-0.002503	0.000011
140.000000	1.474701	-0.002498	0.000011
141.000000	1.472205	-0.002494	0.000011
142.000000	1.469714	-0.002488	0.000012
143.000000	1.467229	-0.002482	0.000012
144.000000	1.464750	-0.002475	0.000012
145.000000	1.462278	-0.002468	0.000012
146.000000	1.459814	-0.002460	0.000012
147.000000	1.457358	-0.002452	0.000012
148.000000	1.454910	-0.002443	0.000012
149.000000	1.452471	-0.002434	0.000012
150.000000	1.450042	-0.002424	0.000012
151.000000	1.447624	-0.002413	0.000013
152.000000	1.445216	-0.002402	0.000013
153.000000	1.442820	-0.002390	0.000013
154.000000	1.440436	-0.002378	0.000013
155.000000	1.438064	-0.002365	0.000013
156.000000	1.435706	-0.002351	0.000013
157.000000	1.433362	-0.002337	0.000013
158.000000	1.431032	-0.002322	0.000013
159.000000	1.428717	-0.002307	0.000013
160.000000	1.426418	-0.002291	0.000013
161.000000	1.424135	-0.002275	0.000014
162.000000	1.421869	-0.002257	0.000014
163.000000	1.419620	-0.002240	0.000014
164.000000	1.417390	-0.002221	0.000014
165.000000	1.415178	-0.002202	0.000014
166.000000	1.412986	-0.002183	0.000014
167.000000	1.410813	-0.002162	0.000014
168.000000	1.408661	-0.002142	0.000014
169.000000	1.406530	-0.002120	0.000014
170.000000	1.404421	-0.002098	0.000015
171.000000	1.402334	-0.002075	0.000015
172.000000	1.400271	-0.002052	0.000015
173.000000	1.398230	-0.002028	0.000015
174.000000	1.396214	-0.002004	0.000015
175.000000	1.394223	-0.001979	0.000015
